             CCNAME SUM_TOTAL SUM_MALE SUM_FEMALE SUM_HH Sq_km per_female
11      Montserrado   1118241   549733     568508 232585  1857  0.5083949
9           Margibi    209923   105840     104083  45095  2555  0.4958151
10         Maryland    135938    70855      65083  19254  2271  0.4787697
1              Bomi     84119    42940      41179      0  1909  0.4895327
12            Nimba    462026   230113     231913  80734 11418  0.5019479
2              Bong    333481   164859     168622  69810  8699  0.5056420
4       Grand Bassa    221693   110913     110780  47440  7844  0.4997000
8              Lofa    276863   133611     143252  49642  9867  0.5174111
5  Grand Cape Mount    127076    65679      61397  23950  4727  0.4831518
7         Grand Kru     57913    29648      28265   8969  3850  0.4880597
14        Rivercess     71509    37224      34285  13981  5528  0.4794501
13        River Gee     66789    34863      31926   9822  5053  0.4780128
6       Grand Gedeh    125258    64994      60264  18143 10728  0.4811190
15            Sinoe    102391    54767      47624  15829  9654  0.4651190
3          Gbarpolu     83388    43906      39482  14533  9837  0.4734734
      density pop_difference per_female_difference
11 602.176090         -26565          -0.003336364
9   82.161644          10234          -0.004462800
10  59.858212           -466          -0.039726792
1   44.064432           2083          -0.020085043
12  40.464705          -6062           0.004819197
2   38.335556           4562           0.013338424
4   28.262749          -3146           0.002184035
8   28.059491           6749           0.035603457
5   26.883012          -1979          -0.035402290
7   15.042338            807          -0.025546600
14  12.935781           5647          -0.034655111
13  13.217692           -529          -0.047255284
6   11.675802           -888          -0.034648474
15  10.606070          -2541          -0.056628413
3    8.476975           -370          -0.056338676
